Designator,Mid X,Mid Y,Rotation,Layer
BT1,106.68,-99.06,0.0,bottom
D2,106.68,-80.01,0.0,top
J1,138.43,-97.79,0.0,bottom
Q1,137.16,-79.375,0.0,top
Q2,137.16,-88.265,0.0,top
R1,128.27,-78.5,0.0,top
R2,128.27,-83.82,0.0,top
R3,128.27,-88.9,0.0,top
R4,128.27,-93.98,0.0,top
RV1,138.505,-109.205,0.0,top
SW1,126.29,-109.22,0.0,top
SW2,82.55,-108.93,0.0,top
